mos	fr	en
Yaoog-m ne ligd bilfu.	Aide-moi avec un peu d'argent.	Help me with some money.
Yaool-n-waang soabã leb poorẽ n zĩndi.	Le retardataire est allé s’asseoir derrière.	The latecomer sat at the back.
Reng n ta kʋlgẽ n yaool n toog koom.	Arrive d'abord au marigot et ensuite puise de l'eau.	Arrive first at the river and next you draw water.
Bi-puglã yaoonda biigã t'a sĩndi.	La fille berce l'enfant pour qu'il se taise.	The girls dandles the child so that it keeps quiet.
A yaool n ka mi maam ye.	Cependant il ne me connaît pas.	However he didn't know me.
Yaoolem pʋʋsem.	Salutations finales.	Final Greetings.
B yõk-a lame n yaoog-a ligdi.	On l'a attrapé et forcé de payer de l'argent.	They caught him and forced him to pay money.
F sã n bas f rɩẽ yaoore, f gũuda tãmbɛg-kɩɩnga / tãmbeoko.	Si tu abandonnes ta termitière des termites ailées de l'année passée, tu garderas une termitière de termites pour poussins. (Proverbe signifiant: l'homme ne doit pas déprécier la valeur de ce qu'il a et qui lui est utile parce qu'il pense avoir mieux ailleurs. En d'autres mots, il faut garder nos valeurs socioculturelles)	If you abandon your winged termite mound from last year, you will keep a termite nest for chick termites. (Proverb meaning: man must not depreciate the value of what he has and which is useful to him because he thinks he has better elsewhere. In other words, we must keep our socio-cultural values)
B yolma tɩɩgã n bas-a t'a yɛs yaorengo.	Ils ont enlevé les feuilles de l'arbre et maintenant il est là sans feuilles.	They took away the leaves of the three and it now stands there without leaves.
Bas yardo.	Faire confiance.	Put confidence, have faith.
A yarda a naoã n zĩẽ.	Il est assis en écartant largement ses jambes.	He sits stretching out his legs to the sides.
B zɩlga bõang tɩ loog-a t'a yare.	Ils ont trop chargé l'âne et il a cédé au poids.	They put loads on a donkey and it gave in under to much weight.
Mam na n maana yard ne Wẽnnaam.	Je fais pleinement confiance en Dieu.	I will put my trust in God.
Pagb wʋsg n dag n yas yɩɩg n getẽ.	De nombreuses femmes étaient là et regardaient de loin.	There were many women there, looking on from a distance.
Yasg willã.	Casse la branche à l'endroit fourchu.	Break the branch at its forked place.
Fo yãa bõe?	Qu'est-ce que tu vois ?	What do you see?
Wẽnd na gũ-yã.	Que Dieu vous garde.	may God protect you.
Bala, yaa woto la yãmb kos-yã. A wa yã!	Voilà ce que vous avez demandé. Il est arrivé !	That's what you had asked for. He arrived!
A yãaga sũudã tɩ kaooge.	Il a tiré le caoutchouc et il a cassé.	He pulled the rubber till it broke.
A gomda yã-yã wa baaga.	Il parle de manière saccadée comme un chien.	He speaks fitfully like a dog.
B bãngame t'a yãnda yãab Wẽnd doogẽ wã.	Ils ont compris qu'il avait eu une vision dans le temple.	They knew that he had seen a vision in the Temple.
B kẽes-a-la bãong t'a kẽnd n yãatẽ.	On l'a circoncis et il marche en écartant les jambes.	They circumcised him and he now walks having the legs apart.
A ma ki a yãadem wakato.	Sa mère est décédée au temps de son enfance.	His mother died in his childhood.
Noaag vuud a to yãad t'a rẽnd gũud / pogd beoogo.	La poule traîne les intestins de son semblable et les siens le seront un jour. (Proverbe: il faut compatir aux souffrances d'autrui au lieu de rester insensible ou de s'en réjouir car tout le monde est appelé à en connaître.)	The hen drags the intestines of her fellows and her own will one day be dragged. (Proverb: we must sympathize with the sufferings of others instead of remaining insensitive or rejoicing because everyone is called to know it.)
Ned pʋg-kẽem n mi a yãado	C'est la première épouse de l'homme qui connaît sa gourmandise. (Proverbe: des personnes qui sont proches ou intimes se connaissent mieux que toute autre personne.)	It is the first wife of the man who knows his gluttony. (Proverb: People who are close or intimate know each other better than anyone else.)
Ra-koɛɛg ka yãag ye.	L'homme qui est de petite taille n'est pas un enfant (proverbe).	A short man is not a child (proverb).
Wa yãag-m raaga.	Viens m'accompagner au marché.	Come with me to the market.
A yãaga a sũudã tɩ kaooge.	Il a tiré le caoutchouc et ce s'est cassé.	He pulled the rubber and it broke.
Wẽnd na yũnug yãam-sõmde.	Que Dieu te fasse boire les bons médicaments (pour te guérir).	May God give you the right medicine to drink (so that you get well again).
A Zã koɛɛgã lebgda yãanga.	La voix de Jean devient profonde.	John's voice gets deep.
Zomã yaa yãaseng wʋsgo.	La farine n'est pas très fine.	The flour is not very finely ground.
Bʋ-yãbdga n kõt bʋ-sĩndg koom.	C'est la chèvre qui bêle qui permet à celle qui se tait d'avoir de l'eau. (Proverbe: celui qui réclame, revendique, ou dénonce pour lui-même agit aussi pour le compte de ceux qui se taisent, qui résignent et qui demeurent passifs. C'est le mérite d'être un porte-parole, d’agir pour que les autres en profitent.)	It is the goat that bleats that allows the one that is silent to have water. (Proverb: whoever claims, or denounces for himself also acts on behalf of those who are silent, who resign and who remain passive. It is the merit of being a spokesperson, of acting for let others benefit.)
Sĩnd la f ra yãb ye.	Tais-toi et ne pleure pas.	Be quiet and don't weep.
Yãbg m nifrã n fʋʋs tɩ bũmb n lʋɩ be.	Écarte mon œil et souffle car quelque chose est tombé dedans.	Splay my eye and blow for something fell inside.
M na n yãbs-f lame.	Je vais te faire pleurer.	I will make you weep / cry.
A kẽnda yãda-yãda.	Il marche comme un canard.	He walks like a duck.
Yãdg bugum tɩ koomã wɩnge.	Attise le feu pour que l'eau devient chaud.	Fan the fire so that the water gets hot.
Yãdg-y tɩ d baas tʋʋmdã la d kuli.	Accélérez pour que nous finissions le travail et rentrons.	Accelerate so that we finish the work and go home.
Saagã niib yãdgdame.	La pluie a redoublé d'intensité.	The rain got more intense.
A bãaga yãdga yʋngẽ.	Sa maladie s'est aggravée la nuit.	His illness got worse at night.
B zoa bãaga yãdgre.	On craignait une aggravation de la maladie.	They were afraid of an aggravation of the disease.
Maag-f meng ne f yãg-yãgã.	Calme-toi avec ta précipitation.	Calm down and don't be in such a rush.
Yɛlã yaa yãga.	Le problème est cafouillé.	The problem is confusing.
Kur pa mi yãgbo, la a tata bãkẽ.	La tortue ne se presse pas, mais elle arrive à la mare. (Proverbe: quel que soit ce qu'on voudrait faire, on ne doit pas le faire dans la précipitation)	The turtle is not in a hurry, but it arrives at the pond. (Proverb: whatever we want to do, we must not do it in a rush)
Maan yãgbr tɩ wakatã loogdame.	Fais vite car le temps passe.	Act quickly for the time is passing.
Yãgd / Yãg-yãg n daad baag zugu.	Seul celui qui est trop pressé achète la tête de chien. (proverbe: la patience est un chemin d'or. Il ne faut pas être trop pressé)	Only the one who is in too much of a hurry buys the dog's head. (proverb: patience is a golden path. You should not be too much in a hurry)
Ned pa rɩt ne a ma n yãgdẽ ye.	On ne mange pas avec sa mère avec empressement. (proverbe disant: quand on collabore avec quelqu'un e n qui on a confiance, o ne doit plus émettre des inquiétudes par rapport a d'éventuelles trahison ou incompréhension)	You do not eat with your mother eagerly. (proverb saying: when we collaborate with someone who we trust, we should no longer express concerns about possible betrayal or incomprehension)
Nen-gɛtg sã n be wĩntoogẽ, a yãgdame.	Lorsque le soleil frappe le miroir il brille.	When the sun shines on the mirror it dazzles.
Da yãg n kẽng ye.	Ne te presse pas d'y aller.	Don't be in a hurry to go.
A baoo gõos n yãg a langã.	Il a fait une clôture autour de son champ de coton.	He made an enclosure around his cotton field.
Saagã yãgemdame.	L'orage fait un éclair.	The storm is flashing a lightning.
A yãgma yɛlã fãa.	Il amalgame tous les problèmes.	He mingles all the problems.
A yãgemdame n dat n ta yir wã.	Il marche vite pour arriver à la maison.	He walks quickly to get home.
F yãgnem-yãgenmã f rɛbda yɛ?	Où vas-tu avec ton pas pressé ?	Where are you going walking so quickly?
B yãgsda kood n tẽgd n wãbdẽ.	Ils arrachaient des épis et les mangeaient, après les avoir froissés dans les mains.	They plucked and ate some heads of grain, rubbing them in their hands.
a Zagl bee neerẽ n yãkd goam para t'a taabã wer n sa na bas-a.	a Zagl bee neerẽ n yãkd goam para t'a taabã wer n sa na bas-a.	a Zagl bee neerẽ n yãkd goam para t'a taabã wer n sa na bas-a.
Pis-tã tɩ b yãk piiga, kella pisi.	Trente et on enlève dix, il reste vingt.	Thirty and you take away ten, this gives you twenty.
A nu tɩ b yãk a tãab kella a yiibu.	Cinq moins trois égale à deux.	Five minus three equals two.
A wãbda zomã yãkem-yãkem.	Il mâche la farine en faisant du bruit de mastication.	He chews the flour with a noise of chewing.
Kiparã zabda noor yãm-yãme.	Le piment fait mal à la bouche comme un picotement.	The pepper hurts his mouth with a sort of singing.
Wʋk yãma-yãma wã n tɩ lobe.	Ramasse les ordures et va les jeter.	Gather the thrash and throw it away.
Yãmb n yeele.	C'est vous qui avez dit.	It's you who said it.
Yãmb pʋtã bee yɛ?	Où se trouvent vos champs ?	Where are your fields?
B yãmba zĩigã tɩ weer ka le beẽ ye.	On a encombré les lieux et il n'y a pas de place libre.	They obstructed the place so that there is no room left.
Yãmb roogã noor tɩ noosã ra yi ye.	Obstrue la porte pour que les poules ne sortent pas.	Block the door so that the chicken don't come out.
Wakat fãa a yãmbsda maam.	Toute le temps il me vouvoie.	All the time he addresses me formally.
Biigã zãada bur n yãmbsd a taaba.	L'enfant tient un pain et fait convoiter les autres.	The child holds a bread and causes the others to covet it.
F sã n dɩ kipare, yãmda noore.	Si tu manges du piment ta bouche picote.	If you eat pepper your mouth will prickle.
Rogem daar ka be yãnd ye.	Il n'y a pas de honte le jour de l'accouchement. (Proverbe: quand on a une préoccupation alors qu'on ne peut avoir la solution tout seul, quelle que soit ls sensibilité ou l'intimité de la préoccupation, on doit la partager aux autres pour qu'ils apportent leurs contributions sans quoi, elle n'aura pas de solution)	There is no shame on the day of delivery. (Proverb: when we have a concern when we cannot have the solution on our own, no matter how sensitive or how private the concern is, we must share it with others so that they can make their contributions, otherwise we will not have a solution)
A pa yãnd baagã ye.	Il n'a pas vu le chien.	He didn't see the dog.
A kẽnd n yãndemda.	Il marche en écartant les jambes.	He walks splaying his legs.
Bʋʋgã yaa yãnglga.	La chèvre est grand et maigre.	The goat is tall and thin.
Biigã yãnemda a rũmã zugu.	L'enfant marche à quatre pattes sur ses genoux.	The child crawls on his knees.
A nao wã kaoome t'a gãe n yãnemdẽ.	Son pied est cassé et il est couché et se déplace en se traînant.	His foot is broken and he is lying down and moving by dragging his body.
Yão wã la m data.	C'est celui-ci que je veux.	It's this one that I want.
A gãee yão-vabga.	Il est couché à plat ventre.	He is lying down flat on his stomach.
Yaa yãoã soabã.	C'est celui-i.	It is this one.
Bi-kãngã yaa yãoog soaba, a rɩtame n ka tɩgd ye.	Cet enfant est gourmand, il mange sans être rassasié.	This child is gormandising, he eats without being satiated.
A peka a kurgã tɩ yãoon n lebg koɛɛga.	Il a lavé ses pantalons et elles se sont rétrécies et devenues courtes.	He washed his trousers and they shrunk and became short.
A Zã yãoosda woto n dabd yɛ?	Où va Jean si énergiquement ?	Where does John go walking so energetically?
Sã n saagdẽ, yaa yãr-yãre, ka saalg boala ye.	Si c'est lissé et ça a des aspérités, ce n'est pas bien lissé.	If it is polished but it remains uneven, that means it is not well polished.
A biigã sã n ka maan neere, a yãrgd-a-la sõama.	Si son enfant n'agit pas bien elle crie sur lui.	When her child doesn't behave well she shouts at him.
Pĩirã yãrgame tɩ b ka le tõe n gãand a zug ye.	La natte est devenue tellement rugueuse qu'on ne peut plus se coucher sur elle.	The mat became so rough that one can't lie down on it any more.
Gʋ-ruudg tog n yɩɩ yãrsenga.	Une râpe de cola doit être rugueux.	A rasp for cola nuts has to be rough.
A kẽnga Tible, Nawuri tẽng a ye.	Il est allé à Tiébélé, une ville de la province du Nahouri.	He went to Tiébélé, a town of the Nahouri province.
Pa maam ye.	Ce n'est pas moi.	It's not me.
A Zã ye wa yã!	Jean est encore venu !	John came again!
Fo ye n wa.	Pourvu que tu viennes.	So long as you come.
M yeelame ye m pa mi ye.	J'ai dit que je ne sais pas.	I said that I don't know.
Ye yaa, m ba biisi ...	Écoutez, mes frères ...	Listen, my brothers ...
Biigã rʋʋdame tɩ yedg n mad futã.	L'enfant urine et l'urine coule le long de ses vêtements et les mouille.	The child urinates and it runs down on his clothes.
Bas maam yee!	Laisse-moi donc !	Leave me OK!
«Yee, kelg-y-yã!»	«Hé, écoutez bien !»	«Heh, listen well!»
«Nin-kẽembã waar yaa yee ... »	« Les vieillards sont vraiment oh ... »	«The old people are really ooh ....»
Koomã sã n yɩ yee bɩ f fũk n ning yamsem.	Lorsque l'eau commence à bouillir, il faut y mettre du sel.	When the water starts to boil, you have to add salt to it.
Bi-kãngã ka tõe n zĩnd ye, a saad n yeebdame.	Cet enfant ne peut pas s'asseoir tranquille, il vagabonde souvent.	This child can't sit still, it moves around often.
Yeeg f fuugã n kɩs tɩ b peke.	Enlève ton vêtement pour donner à laver.	Take off your garment and give it to be washed.
A yeelame tɩ bõe?	Qu'est-ce qu'il a dit ?	What did he say?
Yeelg fuug tɩ yaa waoodo.	Habile-toi car il fait froid.	Get dressed for it is cold.
Woo! Pa kaood yeer ye.	"Acquiescer en disant ""oui"" ne casse pas la mâchoire. (proverbe) sens: on ne doit pas contredire."	"To nod in agreement does not break the jaw. (proverb meaning that even if one says formally ""yes"" it may not be for real)"
Yek pagã sẽn kẽndã n sok n gese.	Intercepte la femme qui marche et demande-la.	Meet the woman that walks and ask her.
Yel-kãngã sɩd yaa yel-bãnde.	Cette chose est vraiment extraordinaire.	This event is really an extraordinary thing.
Yel-kels n wʋmd a ma sõodo.	Qui est curieux apprendra que sa mère est sorcière. (proverbe indiquant: si la curiosité engendre la connaissance dans une certaine mesure, l'excès de curiosité doit être évité.)	Who is curious will learn that his mother is a witch. (A proverb stating: If curiosity breeds knowledge to a certain extent, however excess curiosity should be avoided.)
Yel-kãngã yaa yel-lingdim, ned ka bãng a tiir ye.	Cette chose est une surprise, personne n'était au courant.	This thing is a surprise, nobody knew it ahead of time.
La bɩ f yɩ mamsgo Wẽnnaam tẽedbã yĩng ne goama, la yel-manesem ne nonglem, la tẽebo, la ne pʋ-peelem.	... mais sois un modèle pour les fidèles, en parole, en conduite, en charité, en foi, en pureté.	... but be an example to those who believe, in word, in your way of life, in love, in spirit, in faith, and in purity.
La sob-kãseng yika koomã zugu, tɩ koom-koglgã rag n pid ne koom, tɩ lebg yel-pakr ne-ba.	Une bourrasque fondit sur le lac, la barque se remplissait d'eau, et ils étaient en danger.	And a wind-storm came down on the lake, and they were filling with water and were in danger.
M zaamẽ beoog yaa yel-sõm-minim pʋʋsem.	La remerciement est une salutation de reconnaissance.	A «thank you» is a greeting of gratefulness.
Yel-sõm-sãoog pidsda / lekda ne beem.	On complète le bienfait incomplet par du mépris. (proverbe signifiant: ‹les gens ne voient que la bouteille à moitié vide›)	The incomplete benefit is completed by contempt. (proverb meaning: people only see the half-empty bottle)
Yel-sõm-zɩtlem kʋɩɩsda yel-sõmd nifu.	L'ingratitude assèche l’œil du bienfaiteur. (Proverbe: quand on se montre trop ingrat à l'endroit de qui nous a rendu un service, celui-ci ne se montrera plus généreux et gentil à notre égard.)	Ingratitude dries up the eye of the benefactor. (Proverb: When we are too ungrateful to someone who has done us a service, they will no longer be generous and kind to us.)
Yel-sõmd paasg ka sãamd yel-sõmd ye.	Plus de bienfaits (ou de bonté) ne gâte pas le bienfait (la bonté). Proverbe: IL faut toujours faire du bien aux autres et non le mal.)	Proverb: Doing good actions to others doesn't destroy any good. (sense: Always do good to others).
Pagã soga ki n yelgdẽ.	La femme a pilé du mil et le vanne.	The woman pounded the millet and is now winnowing it.
Nebã yelgdame n digd raagã.	Les gens se déplacent pour se diriger au marché.	The crowd is moving and going towards the market.
Yell kae ye.	Il n'y a pas de problème.	there is no problem.
A boola noosã tɩ b ya yelll n wat n na n dɩ ki wã.	Ils ont appelé les poules et elles viennent en foule pour manger le mil.	He called the chicken and they come in crowds to eat the millet.
Kasetã rãmb sẽn wa n togsã, b yelsmã ka y yembr ye.	Les témoins ont parlé, mais les choses qu'ils ont dites ne coïncident pas.	The witnesses have spoken, but the things they said don't fit together.
A sɩnga sõadga: yembo, yiibu ...	Il a commencé à compter : un, deux ...	He started counting: one, two ...
Ned a yembr bal n wa.	Une seule personne est venue.	Only one person came.
Fãa ya a yembre.	Tous sont pareil.	They all are alike.
Nin-yende. Bi-yende.	Une seule personne. Enfant unique.	One single person. Unique / only child
A sẽba teedã tɩ yengdẽ n dat n dʋʋge.	Il a attaché des objets qui basculent et veulent tomber.	He tied objects but they overbalance and want to fall to the ground.
A ka tar fuug n yerẽ ye.	Il n'a pas d'habit à porter.	He doesn't have clothes to wear.
Gõosã yerga a poorã tɩ yit zɩɩm.	Des épines ont écorché son dos et il saigne.	Thorns scratched his back and he is bleeding.
A sɩnga goam tɩ b yerg-a t'a kong n sĩnda.	Il a commencé à parler et on a crié sur lui, puis il s'est tu.	He started to speak ant they shouted at him so that he got silent.
Fo gomda yes-yese.	Tu parles n'importe comment.	You speak no matter how.
A tuume n yesge.	Il a creusé et enlevé l'obstacle.	He dug and removed the obstacle.
Wãamb kong wedr n yet t'a miisa.	Le singe, ne pouvant pas atteindre le fruit de la liane, prétexte qu'il est aigre. (proverbe: quand une personne n'a pas obtenu ce qu'elle recherchait, elle trouvera des motifs pour se consoler)	The monkey, unable to reach the fruit of the liana tree, pretends that it is sour. (proverb: when a person has not obtained what he is looking for, he will find reasons to console himself)
n gome	parler	to speak
La a ra tagsda a sũurẽ n yetẽ yaa: Mam na n maana wãna?	Il raisonnait en lui-même et disait: « Que ferai-je? »	And he thought to himself, «What shall I do?»
A wẽnemdame n gom ne karen-biisã b yeyn-yeyn n yeel-b yaa: «Bark bee neb nins nin sẽn yãt bũmb ning yãmb sẽn yãtã zugu.	Et se tournant vers les disciples, il leur dit en privé: Heureux les yeux qui voient ce que vous voyez!	Then turning to the disciples he said privately, “Blessed are the eyes that see what you see!
Ra wa-y yãmb fãa ye: tong-y taab n wa yeynye.	Ne venez pas tous ensemble, mais alignez-vous et venez un à un.	Don't come all at the same time but line up and come one by one.
A rʋga bɛng a yeynye, bɩ a kalma mui?	Elle a cuisiné des haricots seulement ou bien elle a ajouté du riz?	Did she cook beans solely or did she add rice?
Yaa yẽ.	C'est lui.	It's him.
Yẽ zakã koosdame.	Sa maison est en vente.	His house is on sale.
B rat n yẽ bulsã tɩ koom wa.	Ils veulent curer les puits pour que l'eau vienne.	They want to cleanse the wells so that the water comes.
Nangurã yẽedame.	Les arachides produisent beaucoup (il aura une bonne récolte).	The ground-nuts produce a lot of fruit (good harvest).
A kẽnga kʋɩlgẽ n tɩ yẽ zĩm.	Il est allé au marigot pour attraper du poisson.	He went to the river to catch fish.
Mam yẽ paamame tɩ sek-ma.	Quant à moi j'ai reçu assez.	As for me, I got enough.
A waame yẽ ...	Il est venu, oui, mais ...	He came, yes, but ...
Yẽbd pãng yẽb a yẽb-tɛkem-tɛkem.	Celui qui fait l'amour avec brutalité le fait pour sa dernière fois. Proverbe	The one who makes love with brutality makes is for his last time. Proverb
B zoe n yẽbga roogã.	Ils ont déjà entamé les bases de la construction de la maison.	They begun already the foundation of the house construction.
Yẽbg n togse.	Dis-le de nouveau.	Say it again.
A yẽbgda biigã la a ka rat n tʋm ye.	Elle encourage l'enfant qui ne veut pas travailler.	She encourages the child who doesn't want to work.
Roogã yẽbr maana ne sɩmo.	La fondation de la maison est faite en ciment.	The foundation of the house is made of cement.
A talla a pe-yãanga n tɩ yẽbs ne a Zã pe-raoogã.	Il fait saillir sa brebis avec le bélier de Jean.	He takes his ewe to John's ram to copulate.
Bao bũmb n yẽd võorã.	Bouche ce trou avec quelque chose.	Cog this hole with something.
A yẽda maam n deeg ligd n tɩ yũ rãam.	Il m'a obligé de lui donner de l'argent pour aller boire de la bière.	He obliged me to give him money to go drinking beer.
Yẽd-m ne tusr tɩ m yao m samde.	Complète la somme d'argent de cinq mille francs pour que je puisse payer mes dettes.	Supplement me with five thousand francs so that I can pay me debts.
Yãmb yẽd n maana bõe mam loogrã poore?	Qu'est-ce que vous avez fait après mon départ ?	What did you do after I had left?
Yõ-yẽdma.	Nez bouché.	Clogged nose.
A tuda moogã yẽdgẽ.	Il est allé au fond de la brousse.	He went into the far end of the bushland.
Bao ligd n yẽdg tɩ d ra mobilli.	Complète pour qu'on puisse acheter la voiture.	Supplement the money so that we can buy the car.
A yẽdga bokã noor tɩ yõensã yi.	Il a débouché le trou pour que les souris sortent.	He unblocked the hole entry so that the mice get out.
Bao neb a yẽebɩ bal tɩ tũ n kẽnge.	Prends quelques gens pour aller suivre.	Take some people and follow.
Pãng la yẽedo.	Pratiquer la pêche, c'est la force. (Proverbe: pour réaliser les ambitions ou atteindre les objectifs qu'on s'est fixé, on doit accepter les sacrifices que la situation exige.)	Fishing is strength. (Proverb: to realize the ambitions or achieve the goals that one has set for oneself, one must accept the sacrifices that the situation requires.)
Nu-yẽega.	Ongle du doigt.	Fingernail.
Yũug nao-yẽega.	La griffe du chat.	The claw of the cat.
B rat n yẽega bulgã tɩ koom wa.	On cure le puits pour que l'eau vienne.	They cleanse the well so that the water comes.
A yũu koom n yẽeg zom.	A yũu koom n yẽeg zom.	A yũu koom n yẽeg zom.
Zĩigã yẽegame.	Il fait jour.	It's daybreak (the day is beginning).
Baagã kamb nan ka yẽeg n ta rɩkr ye.	Les chiots ne sont pas encore assez éveillés (pour donner aux gens).	The puppies are not enough awake to be given away.
A yẽega maam n looge.	Il m'a frôlé et a passé.	He brushed against me and passed by.
Tɩ yẽeg-a n deeg f ligdi.	Va le coincer pour qu'il te donne ton argent.	Oblige him to give your money.
A yẽela gʋls-raoog a tʋbrẽ wã.	Il a inséré un crayon entre l'oreille et la tête.	He inserted a pencil between the ear and the head.
A koeesã gĩdame t'a yẽemdẽ.	Sa voix est rugueuse et il se racle la gorge.	His voice is rough and he clears his throat.
A yẽena sɩgdr a tʋbrẽ wã.	Il a inséré un cure-dents à l'oreille.	He inserted a toothpick at his ear.
Reeg kʋɩdg n yẽes f nusã rẽgdo.	Essuie la saleté de tes mains avec un tissu.	Take a towel and wipe off the dirt of your hands.
B sẽn ya b yiibã, b yẽesda taab ne tʋʋma.	Comme ils sont deux, chacun veut que l'autre fait le travail.	Since there are two of them, each one wants the other do the work.
Sẽn sagl (bɩ wʋm) n yẽese.	Celui qui est conseillé est éveillé. (proverbe, les conseils sont la clé à la sagesse)	The one who accepts counsel is wise (proverb, counsel makes you wise, helps you to take good decisions).
A yẽesem ka waooge.	Il n'est pas très éveillé.	He is not very bright.
A yaa bi-yẽesenga.	C'est un enfant intelligent.	He's a smart child.
Yeelame tɩ b tɩ rɩk laag n wa tɩ b yẽesemd taaba.	On leur a dit d'amener le plat, et chacun dit à l’autre de le faire.	They were told to get the dish, but each one tells the other one to do the job.
Yẽgdg rʋkã ne lalgã t'a ra bidg ye.	Coince la marmite au mur pour qu'elle ne bascule pas.	Clamp the pot to the wall so that it won't tilt.
A yẽgdga maam n deeg piig n yũ rãam.	Il m'a contraint de lui donner 50 F pour boire de la bière.	He urged me to give him 50 F to drink beer.
Maam n yẽg bi-kãngã.	C'est mi qui s'occupe de cet enfant.	I take care of this child.
Biigã yẽgemda ne a ma wã.	L'enfant marmonne en parlant avec sa mère.	The child mumbles talking with his mother.
Buud yẽgre.	L'origine d'un clan / peuple.	The origin of a tribe / people group.
Liuulã yẽkame n looge.	L'oiseau s'est envolé.	The bird flew away.
Yẽk hal tẽngr n wãage.	Coupe cela à la base.	Cut it at the base / root.
F sã n pa ki, bɩ f ra sõd f yẽn ye.	Tant que tu n'est pas mort, ne dénombre pas tes dents. (proverbe indiquant: Nul ne connaît les sombres jours à venir)	Until you're dead, don't count your teeth. (proverb indicating: No one knows the dark days to come)
Yaa yẽnda.	C'est lui.	It's him.
Yaa yẽnda weefo.	C'est son vélo.	It's his bike.
Yẽnd sã n yaa a ye, bɩ a yɩ pɛɛlga.	Quand une dent est seule, qu'elle soit éclatante ! (proverbe: on doit toujours donner de la fierté à nos parents, à nos proches et à notre pays)	When a tooth is alone, let it be bright! (proverb: we must always give pride to our parents, our relatives and our country)
Kaamã yẽnegame.	Le beurre a fondu.	The butter melted.
Gũurã yẽnegda ne roogã.	Les fourmis se sont répandus dans la maison.	The ants propagated in the house.
Fo yẽnẽ n bao goamã n kõ maam.	Toi même tu cherches à parler contre moi.	It's you yourself who tries to speak against me.
Maan sugr la f fĩdg yẽnɩ bal n kõ-ma.	Sois un peu indulgent envers moi.	Please be a little bit forbearing towards me.
A yaa bãaneg yẽnnn.	Il est très mince.	He is very thin.
Gũurã sãeegda yẽnnn ne roogã.	Les fourmis se répandent en grand nombres dans la maison.	The ants scatter in large numbers in the house.
Keeg hal a yẽokẽ wã.	Coupe-le à sa base.	Cut it at its base / root.
Bilf yẽoo.	Très, très petit.	Very, very small.
yẽoog yaa kũnd soaba.	yẽoog yaa kũnd soaba.	yẽoog yaa kũnd soaba.
Biigã tõdga kẽnd n zĩ n yẽrda	L'enfant refuse de marcher et se déplace en traînant son postérieur.	The child refuses to walk and moves dragging his buttock on the ground.
Yẽrg n ta taoor tɩ m zĩndi.	D/place-toi devant pour que je puisse m'asseoir.	Move a bit so that I can sit down.
Tɩ yẽs ne-a tɩ d paam sõngre.	Nous avons négocié avec lui pour avoir de l'aide.	We negotiated with him to get help.
Ro-teoong yaa (bɩ wa ne) yẽse.	Le changement de case engendre des fourmis. (proverbe, sens: il n'y a pas des conditions idéales)	Changing house brings ants. (Proverb, meaning: there are no ideal conditions)
Yaa yẽsg n gãe pʋg-yãanga. / Zems-taab n gãe pʋg-yãanga.	C'est par l'entente qu'on couche la vieille femme. (Proverbe: on ne peut pas forcer quelqu'un pour qu'il donne ou fasse quelque chose au risque qu'il refuse.)	It is by agreement that the old woman is put to bed. (Proverb: you cannot force someone to give or do something at the risk of refusing.)
Biigã yẽsemda a ma.	L'enfant tète sa mère.	The child sucks at his mothers breast.
Pagã na n yẽsemda a biiga.	La femme allaite son enfant.	The woman breast-feeds her child.
Fo bee yɛ?	Où es-tu?	Where are you?
A ka yɛɛd ye.	Il n'est pas fatigué.	He is not tired.
biigã kẽnda yɛda-yɛda n basda a ma.	biigã kẽnda yɛda-yɛda n basda a ma.	biigã kẽnda yɛda-yɛda n basda a ma.
No-yɛdbre.	Bouche large.	Wide mouth.
Yɛdg fuugã tɩ kʋɩ.	Étale l’habit pour qu'il sèche.	Spread out the garment so that it dries.
Mam sẽn da yitã, yaa fo yɛẽ la fo sẽn kell n wa paam maam ka wã.	Mam sẽn da yitã, yaa fo yɛẽ la fo sẽn kell n wa paam maam ka wã.	Mam sẽn da yitã, yaa fo yɛẽ la fo sẽn kell n wa paam maam ka wã.
Zĩi woto noor yɛɛ tɩ rẽ me la bõe?	Assis comme ça béant, c'est quoi ?	Sitting like that yawning, what's that?
A zĩi yɛɛ.	Il est assis déçu et confus.	He is sitting disappointed and confused.
Bãagã yɛɛg-a lame t'a lebg gãeenga.	La maladie l'a effrayé et il est devenu fou.	The illness scared him and he became mad.
«Yibeoog soab yɛɛla!»	«Bienvenue au visiteur du matin!»	«Good morning to the morning visitor!»
Rao wã yɛɛm fãa pelgame.	Les favoris de cet homme sont devenus blancs.	The whiskers of this man have become white.
Fo rabda yɛɛnẽ?	Où vas-tu ?	Where are you going?
Ra le yɛɛs maam ye.	Ne crie plus sur moi.	Don't shout at me any more.
La a Zã sẽn yã-a, a yɛɛsame, tɩ rabeem yõk-a.	Quand Jean le vit, il fut troublé et saisi de crainte.	When John saw him, he was alarmed and felt afraid.
Kʋlg yɛgb são tãng yɛgbo.	Longer un marigot vaut mieux que longer une montagne. (Proverbe: il est toujours mieux d'aller vers quelqu'un qui peut vous être utile ou un endroit qui comporte des opportunités. On ne gagne rien en allant vers une personne qui a des problèmes et qui ne peut vous être utile)	Going along a river is better than going along a mountain. (Proverb: it is always better to go to someone who can be of use to you or a place that has opportunities. Nothing is gained by going to a person who has problems and cannot be of service to you)
A yɛgda lalgã n loogdẽ.	Il longe le mur et s'en va.	He goes away alongside of the wall.
